id,store_zone,store_name,store_mr,store_mr,store_operative,store_sap,store_region
1304,Valle de Mexico,ABTS RUBEN,MR0007,MR0007,EULALIA GUZMÁN,120372005,Fresno-Iztacalco
1307,Valle de Mexico,ABTS SUSY,MR0007,MR0007,EULALIA GUZMÁN,101002409,Fresno-Iztacalco
1308,Valle de Mexico,VDM SIX I LA LOMA,MR0000,MR0000,CEDIS NORTE,110297412,Cedis Norte
1309,Valle de Mexico,VDM SIX I OFERTAS TO,MR0001,MR0001,CEDIS SUR,120111516,Cedis Sur
1310,Valle de Mexico,ABTS TIO JUAN,MR0007,MR0007,EULALIA GUZMÁN,110032756,Fresno-Iztacalco
1311,Valle de Mexico,ABTS TORRES,MR0007,MR0007,EULALIA GUZMÁN,104309293,Fresno-Iztacalco
1315,Valle de Mexico,MINI SUPER RUIZ,MR0007,MR0007,EULALIA GUZMÁN,100708426,Fresno-Iztacalco
1318,Valle de Mexico,ABTS VINOS Y LICORES NAUR,MR0007,MR0007,EULALIA GUZMÁN,110181892,Fresno-Iztacalco
1321,Valle de Mexico,ABTS Y CREM LA MODERNA,MR0007,MR0007,EULALIA GUZMÁN,120089140,Fresno-Iztacalco
1323,Valle de Mexico,ABTS Y CREM YEYA,MR0007,MR0007,EULALIA GUZMÁN,120062827,Fresno-Iztacalco
1328,Valle de Mexico,LA RANCHERÍA,MR0007,MR0007,EULALIA GUZMÁN,120285438,Fresno-Iztacalco
1329,Valle de Mexico,MICELANEA ARI,MR0007,MR0007,EULALIA GUZMÁN,110189818,Fresno-Iztacalco
1330,Valle de Mexico,MICELANEA REYNA,MR0007,MR0007,EULALIA GUZMÁN,120263649,Fresno-Iztacalco
1333,Valle de Mexico,MISC ASFALTOS,MR0007,MR0007,EULALIA GUZMÁN,104313170,Fresno-Iztacalco
1335,Valle de Mexico,MISC CHICAGUAMA NUMANIU,MR0007,MR0007,EULALIA GUZMÁN,120201061,Fresno-Iztacalco
1336,Valle de Mexico,MISC DANI,MR0007,MR0007,EULALIA GUZMÁN,120034788,Fresno-Iztacalco
